Year,Date,Holiday
2013,2013-01-01,New Years Day
2013,2013-02-11,Family Day
2013,2013-03-29,Good Friday
2013,2013-05-20,Victoria Day
2013,2013-07-01,Canada Day
2013,2013-08-05,Civic Day
2013,2013-09-02,Labour Day
2013,2013-10-14,Thanksgiving
2013,2013-11-11,Remembrance Day
2013,2013-12-25,Christmas Day
2014,2014-01-01,New Years Day
2014,2014-02-10,Family Day
2014,2014-04-18,Good Friday
2014,2014-05-19,Victoria Day
2014,2014-07-01,Canada Day
2014,2014-08-04,Civic Day
2014,2014-09-01,Labour Day
2014,2014-10-13,Thanksgiving
2014,2014-11-11,Remembrance Day
2014,2014-12-25,Christmas Day
2015,2015-01-01,New Years Day
2015,2015-02-09,Family Day
2015,2015-04-03,Good Friday
2015,2015-05-18,Victoria Day
2015,2015-07-01,Canada Day
2015,2015-08-03,Civic Day
2015,2015-09-07,Labour Day
2015,2015-10-12,Thanksgiving
2015,2015-11-11,Remembrance Day
2015,2015-12-25,Christmas Day
2016,2016-01-01,New Years Day
2016,2016-02-08,Family Day
2016,2016-03-25,Good Friday
2016,2016-05-23,Victoria Day
2016,2016-07-01,Canada Day
2016,2016-08-01,Civic Day
2016,2016-09-05,Labour Day
2016,2016-10-10,Thanksgiving
2016,2016-11-11,Remembrance Day
2016,2016-12-25,Christmas Day
2017,2017-01-01,New Years Day
2017,2017-02-13,Family Day
2017,2017-04-14,Good Friday
2017,2017-05-22,Victoria Day
2017,2017-07-03,Canada Day
2017,2017-08-07,Civic Day
2017,2017-09-04,Labour Day
2017,2017-10-09,Thanksgiving
2017,2017-11-11,Remembrance Day
2017,2017-12-25,Christmas Day
2018,2018-01-01,New Years Day
2018,2018-02-12,Family Day
2018,2018-03-30,Good Friday
2018,2018-05-21,Victoria Day
2018,2018-07-02,Canada Day
2018,2018-08-06,Civic Day
2018,2018-09-03,Labour Day
2018,2018-10-08,Thanksgiving
2018,2018-11-11,Remembrance Day
2018,2018-12-25,Christmas Day
